Publisher|Series|Size|Comic Book|Issue Number|Release Date|Number of Pages|Price|Main Character|Cover Type
Marvel|The Amazing Spider-Man|3|The Web Begins|1|2023-01-15|32|$3.99|Spider-Man|Softcover
Marvel|The Amazing Spider-Man|3|Arachnid's Awakening|2|2023-02-15|32|$3.99|Spider-Man|Softcover
Marvel|The Amazing Spider-Man|3|The Sinister Six Strikes|3|2023-03-15|32|$3.99|Spider-Man|Softcover
Marvel|X-Men: Mutant Genesis|3|Dawn of the Mutants|1|2023-01-10|28|$2.99|X-Men|Softcover
Marvel|X-Men: Mutant Genesis|3|Rise of the Brotherhood|2|2023-02-10|28|$2.99|X-Men|Softcover
Marvel|X-Men: Mutant Genesis|3|Dark Phoenix Saga|3|2023-03-10|28|$2.99|X-Men|Softcover
Marvel|Avengers Assemble|3|The Avengers Initiative|1|2023-01-20|30|$4.50|Avengers|Softcover
Marvel|Avengers Assemble|3|Infinity Gauntlet|2|2023-02-20|30|$4.50|Avengers|Softcover
Marvel|Avengers Assemble|3|Secret Wars|3|2023-03-20|30|$4.50|Avengers|Softcover
Marvel|Iron Man: Armored Adventures|3|Iron Man Unleashed|1|2023-01-05|32|$3.99|Iron Man|Softcover
Marvel|Iron Man: Armored Adventures|3|War Machine Chronicles|2|2023-02-05|32|$3.99|Iron Man|Softcover
Marvel|Iron Man: Armored Adventures|3|Stark Industries Under Siege|3|2023-03-05|32|$3.99|Iron Man|Softcover
Marvel|Thor: God of Thunder|3|Thunderstruck|1|2023-01-25|28|$2.99|Thor|Softcover
Marvel|Thor: God of Thunder|3|Ragnarok's Fury|2|2023-02-25|28|$2.99|Thor|Softcover
Marvel|Thor: God of Thunder|3|The Mighty Mjolnir|3|2023-03-25|28|$2.99|Thor|Softcover
Marvel|Black Widow: Deadly Origin|3|Red Room Redemption|1|2023-01-12|32|$3.99|Black Widow|Softcover
Marvel|Black Widow: Deadly Origin|3|The Widow's Gambit|2|2023-02-12|32|$3.99|Black Widow|Softcover
Marvel|Black Widow: Deadly Origin|3|Assassin's Legacy|3|2023-03-12|32|$3.99|Black Widow|Softcover
Marvel|Captain America: Sentinel of Liberty|3|The Super Soldier Serum|1|2023-01-18|30|$4.25|Captain America|Softcover
Marvel|Captain America: Sentinel of Liberty|3|Winter Soldier's Wrath|2|2023-02-18|30|$4.25|Captain America|Softcover
Marvel|Captain America: Sentinel of Liberty|3|The Red Skull Rises|3|2023-03-18|30|$4.25|Captain America|Softcover
Marvel|Hulk: Smash and Grab|3|Gamma Radiation Rampage|1|2023-01-30|28|$3.50|Hulk|Softcover
Marvel|Hulk: Smash and Grab|3|Planet Hulk|2|2023-02-28|28|$3.50|Hulk|Softcover
Marvel|Hulk: Smash and Grab|3|World War Hulk|3|2023-03-30|28|$3.50|Hulk|Softcover
Marvel|Guardians of the Galaxy: Cosmic Chronicles|3|Star-Lord's Odyssey|1|2023-01-24|32|$3.75|Guardians of the Galaxy|Softcover
Marvel|Guardians of the Galaxy: Cosmic Chronicles|3|Rocket and Groot's Space Heist|2|2023-02-24|32|$3.75|Guardians of the Galaxy|Softcover
Marvel|Guardians of the Galaxy: Cosmic Chronicles|3|Drax's Vengeance|3|2023-03-24|32|$3.75|Guardians of the Galaxy|Softcover
Marvel|Daredevil: The Man Without Fear|3|The Devil's Redemption|1|2023-01-28|28|$3.25|Daredevil|Softcover
Marvel|Daredevil: The Man Without Fear|3|Elektra's Return|2|2023-02-28|28|$3.25|Daredevil|Softcover
