publisher|series|size|comic book|issue number|release date|number of pages|price|main character|cover type
marvel|the amazing spider-man|3|the web begins|1|2023-01-15|32|$3.99|spider-man|softcover
marvel|the amazing spider-man|3|arachnid's awakening|2|2023-02-15|32|$3.99|spider-man|softcover
marvel|the amazing spider-man|3|the sinister six strikes|3|2023-03-15|32|$3.99|spider-man|softcover
marvel|x-men: mutant genesis|3|dawn of the mutants|1|2023-01-10|28|$2.99|x-men|softcover
marvel|x-men: mutant genesis|3|rise of the brotherhood|2|2023-02-10|28|$2.99|x-men|softcover
marvel|x-men: mutant genesis|3|dark phoenix saga|3|2023-03-10|28|$2.99|x-men|softcover
marvel|avengers assemble|3|the avengers initiative|1|2023-01-20|30|$4.50|avengers|softcover
marvel|avengers assemble|3|infinity gauntlet|2|2023-02-20|30|$4.50|avengers|softcover
marvel|avengers assemble|3|secret wars|3|2023-03-20|30|$4.50|avengers|softcover
marvel|iron man: armored adventures|3|iron man unleashed|1|2023-01-05|32|$3.99|iron man|softcover
marvel|iron man: armored adventures|3|war machine chronicles|2|2023-02-05|32|$3.99|iron man|softcover
marvel|iron man: armored adventures|3|stark industries under siege|3|2023-03-05|32|$3.99|iron man|softcover
marvel|thor: god of thunder|3|thunderstruck|1|2023-01-25|28|$2.99|thor|softcover
marvel|thor: god of thunder|3|ragnarok's fury|2|2023-02-25|28|$2.99|thor|softcover
marvel|thor: god of thunder|3|the mighty mjolnir|3|2023-03-25|28|$2.99|thor|softcover
marvel|black widow: deadly origin|3|red room redemption|1|2023-01-12|32|$3.99|black widow|softcover
marvel|black widow: deadly origin|3|the widow's gambit|2|2023-02-12|32|$3.99|black widow|softcover
marvel|black widow: deadly origin|3|assassin's legacy|3|2023-03-12|32|$3.99|black widow|softcover
marvel|captain america: sentinel of liberty|3|the super soldier serum|1|2023-01-18|30|$4.25|captain america|softcover
marvel|captain america: sentinel of liberty|3|winter soldier's wrath|2|2023-02-18|30|$4.25|captain america|softcover
marvel|captain america: sentinel of liberty|3|the red skull rises|3|2023-03-18|30|$4.25|captain america|softcover
marvel|hulk: smash and grab|3|gamma radiation rampage|1|2023-01-30|28|$3.50|hulk|softcover
marvel|hulk: smash and grab|3|planet hulk|2|2023-02-28|28|$3.50|hulk|softcover
marvel|hulk: smash and grab|3|world war hulk|3|2023-03-30|28|$3.50|hulk|softcover
marvel|guardians of the galaxy: cosmic chronicles|3|star-lord's odyssey|1|2023-01-24|32|$3.75|guardians of the galaxy|softcover
marvel|guardians of the galaxy: cosmic chronicles|3|rocket and groot's space heist|2|2023-02-24|32|$3.75|guardians of the galaxy|softcover
marvel|guardians of the galaxy: cosmic chronicles|3|drax's vengeance|3|2023-03-24|32|$3.75|guardians of the galaxy|softcover
marvel|daredevil: the man without fear|3|the devil's redemption|1|2023-01-28|28|$3.25|daredevil|softcover
marvel|daredevil: the man without fear|3|elektra's return|2|2023-02-28|28|$3.25|daredevil|softcover
marvel|daredevil: the man without fear|3|kingpin's last stand|3|2023-03-28|28|$3.25|daredevil|softcover
marvel|fantastic four: future foundation|3|reed richards' inventions|1|2023-01-22|30|$4.00|fantastic four|softcover
marvel|fantastic four: future foundation|3|invisible woman's secret|2|2023-02-22|30|$4.00|fantastic four|softcover
marvel|fantastic four: future foundation|3|the thing's battle cry|3|2023-03-22|30|$4.00|fantastic four|softcover
marvel|wolverine: weapon x|3|logan's origins|1|2023-01-15|32|$3.99|wolverine|softcover
marvel|wolverine: weapon x|3|x-23's quest|2|2023-02-15|32|$3.99|wolverine|softcover
